,FIN Number,Fleet Type,DEFECT_TYPE,DUE_DATE,MAN_HOURS_VALUE
118,8820.0,F-855,M,2022-09-04 21:26:17,6.0
119,6752.0,F-630,M,2022-10-20 00:00:00,6.0
120,7888.0,F-546,M,2022-08-07 10:56:27,6.0
121,4777.0,F-670,L,2022-08-11 04:16:50,6.0
122,2118.0,F-855,M,2022-08-16 21:26:17,6.0
123,5922.0,F-630,M,2022-11-27 21:26:17,6.0
124,5896.0,F-855,M,2022-08-29 00:00:00,6.0
125,3336.0,F-630,M,2022-08-11 20:15:24,6.0
126,1582.0,F-286,M,2022-08-03 21:26:17,6.0
127,4285.0,F-630,M,2022-08-13 21:26:17,6.0
128,5136.0,F-630,M,2022-08-12 21:24:02,6.0
129,5124.0,F-855,M,2022-09-22 04:22:56,6.0
130,4665.0,F-231,M,2022-08-08 23:47:36,6.0
131,6565.0,F-295,L,2022-08-10 12:49:59,6.0
132,5642.0,F-630,L,2022-08-06 21:26:17,6.0
133,7888.0,F-546,M,2022-08-07 21:24:02,6.0
134,3204.0,F-630,M,2022-08-07 21:26:17,6.0
135,5124.0,F-855,L,2022-08-02 23:37:08,6.0
136,6664.0,F-630,M,2022-08-11 21:26:17,6.0
137,1476.0,F-286,M,2022-08-16 21:26:17,6.0
138,2176.0,F-286,L,2022-08-11 21:26:17,6.0
139,5864.0,F-855,L,2022-08-31 21:26:17,6.0
140,2176.0,F-286,M,2022-08-02 21:26:17,6.0
141,3700.0,F-855,M,2022-08-07 21:26:17,6.0
142,7644.0,F-690,M,2022-08-08 21:24:02,6.0
143,2944.0,F-855,M,2022-09-22 21:26:17,6.0
144,3185.0,F-192,M,2022-12-14 21:26:17,6.0
145,5136.0,F-630,M,2022-11-01 21:26:17,6.0
146,4240.0,F-630,M,2022-08-08 21:26:17,6.0
147,3380.0,F-630,L,2022-08-30 21:26:17,6.0
148,5124.0,F-855,L,2022-08-07 09:45:17,6.0
149,4148.0,F-192,M,2022-09-05 07:12:57,6.0
150,9607.0,F-855,M,2022-10-01 21:26:17,6.0
151,1414.0,F-286,M,2022-08-11 21:26:17,6.0
152,2090.0,F-286,M,2022-09-25 21:26:17,5.5
153,5817.0,F-630,M,2022-09-03 21:26:17,5.0
154,6276.0,F-295,M,2022-08-24 21:26:17,5.0
155,6664.0,F-630,M,2023-01-21 21:26:17,5.0
156,3728.0,F-231,L,2022-08-12 21:24:02,5.0
157,4230.0,F-670,M,2022-12-15 07:12:57,5.0
158,4824.0,F-630,L,2022-08-11 21:26:17,5.0
159,5136.0,F-630,M,2022-10-13 21:26:17,5.0
160,5922.0,F-630,M,2022-11-27 21:26:17,5.0
161,3336.0,F-630,M,2022-08-12 21:24:02,5.0
162,6156.0,F-295,M,2022-08-12 21:24:02,5.0
163,5922.0,F-630,M,2022-11-27 21:26:17,5.0
164,5496.0,F-546,L,2022-08-08 21:26:17,5.0
165,1905.0,F-286,M,2022-08-03 21:26:17,5.0
166,2040.0,F-286,M,2022-10-02 21:26:17,5.0
167,5010.0,F-630,L,2022-08-03 19:55:23,5.0
168,5866.0,F-630,M,2022-08-11 21:24:02,5.0
169,9519.0,F-295,M,2022-08-20 21:26:17,5.0
170,3388.0,F-630,M,2022-12-24 21:26:17,5.0
171,7200.0,F-546,L,2022-08-11 21:24:02,5.0
172,3725.0,F-855,M,2022-08-05 21:26:17,5.0
173,9984.0,F-630,M,2022-12-02 21:26:17,5.0
174,1836.0,F-286,M,2022-08-31 19:19:40,5.0
175,1476.0,F-286,E,2022-08-16 21:26:17,5.0
176,5866.0,F-630,M,2022-08-11 21:24:02,5.0
177,4180.0,F-630,M,2022-08-04 21:24:02,5.0
178,1836.0,F-286,M,2022-08-31 21:26:17,5.0
179,1414.0,F-286,M,2022-08-04 16:58:38,5.0
180,3724.0,F-231,M,2022-09-13 21:26:17,5.0
181,6664.0,F-630,M,2023-01-21 21:26:17,5.0
182,3252.0,F-670,M,2022-10-22 02:59:48,5.0
183,5642.0,F-630,M,2022-10-29 21:26:17,5.0
184,5817.0,F-630,C,2022-10-20 21:26:17,5.0
185,2802.0,F-231,M,2022-08-14 21:26:17,5.0
186,1605.0,F-286,M,2022-08-07 21:26:17,5.0
187,6156.0,F-295,M,2022-12-11 21:26:17,5.0
188,7644.0,F-690,M,2022-08-10 00:00:00,5.0
189,3388.0,F-630,M,2022-12-24 21:26:17,5.0
190,2118.0,F-855,M,2022-11-11 21:26:17,5.0
191,2040.0,F-286,M,2022-10-02 21:26:17,5.0
192,5922.0,F-630,M,2022-11-27 21:26:17,5.0
193,6744.0,F-630,L,2022-08-05 17:46:34,5.0
194,7644.0,F-690,M,2022-08-07 21:24:02,5.0
195,2944.0,F-855,M,2022-08-23 21:26:17,5.0
196,6664.0,F-630,M,2023-01-21 21:26:17,5.0
197,2210.0,F-286,L,2022-08-10 21:26:17,5.0
198,6084.0,F-295,M,2022-08-14 21:24:02,5.0
199,8820.0,F-855,M,2022-11-18 21:26:17,5.0
200,1582.0,F-286,M,2022-08-12 21:26:17,5.0
201,5817.0,F-630,L,2022-08-20 21:26:17,5.0
202,9126.0,F-855,M,2022-10-12 21:26:17,5.0
203,2103.0,F-855,L,2022-08-09 00:56:36,5.0
204,5866.0,F-630,M,2022-08-11 21:24:02,4.5
205,1380.0,F-286,L,2022-08-29 16:32:32,4.5
206,7290.0,F-192,M,2022-12-09 07:12:57,4.0
207,5124.0,F-855,L,2022-08-24 21:26:17,4.0
208,6696.0,F-630,L,2022-08-11 21:26:17,4.0
209,7820.0,F-546,M,2022-09-12 21:26:17,4.0
210,2964.0,F-855,L,2022-08-03 21:26:17,4.0
211,6615.0,F-231,L,2022-08-07 21:26:17,4.0
212,8670.0,F-295,M,2022-10-05 21:26:17,4.0
213,6864.0,F-630,L,2022-08-09 21:24:02,4.0
214,3728.0,F-231,L,2022-08-25 21:26:17,4.0
215,3730.0,F-855,L,2022-08-02 20:52:18,4.0
216,3368.0,F-630,L,2022-08-02 23:37:08,4.0
217,1905.0,F-286,L,2022-08-22 21:26:17,4.0
218,4180.0,F-630,L,2022-08-03 21:24:02,4.0
219,5922.0,F-630,M,2022-08-05 18:52:17,4.0
220,6752.0,F-630,L,2022-08-17 21:26:17,4.0
221,7290.0,F-192,M,2023-01-25 07:12:57,4.0
222,6915.0,F-546,M,2022-08-08 21:24:02,4.0
223,1508.0,F-286,M,2023-01-23 21:26:17,4.0
224,3725.0,F-855,L,2022-08-05 21:26:17,4.0
225,2645.0,F-295,L,2022-08-04 21:24:02,4.0
226,5632.0,F-855,M,2022-08-11 02:59:05,4.0
227,5632.0,F-855,M,2022-12-15 21:26:17,4.0
228,8288.0,F-295,M,2022-08-30 21:26:17,4.0
229,5632.0,F-855,M,2022-08-11 02:59:05,4.0
230,6817.0,F-192,M,2022-11-29 04:01:06,4.0
231,2040.0,F-286,L,2022-08-08 21:26:17,4.0
232,2808.0,F-231,M,2022-08-12 21:24:02,4.0
233,8460.0,F-855,L,2022-08-09 08:16:44,4.0
234,6786.0,F-295,M,2022-08-16 21:24:02,4.0
235,9607.0,F-855,M,2022-09-04 21:26:17,4.0
236,3540.0,F-192,M,2022-10-12 04:01:06,4.0
237,5922.0,F-630,M,2022-08-04 21:26:17,4.0
238,4848.0,F-630,M,2022-09-27 21:26:17,4.0
239,5817.0,F-630,L,2022-08-10 21:26:17,4.0
240,2821.0,,M,2022-08-20 03:04:36,4.0
241,4641.0,F-670,M,2022-10-31 00:00:00,4.0
242,7820.0,F-546,M,2022-09-12 21:26:17,4.0
243,8904.0,F-855,M,2022-08-26 02:59:05,4.0
244,6084.0,F-295,M,2022-08-14 21:24:02,4.0
245,3724.0,F-231,L,2022-08-09 08:05:30,4.0
246,5166.0,F-855,L,2022-08-08 23:59:00,4.0
247,6752.0,F-630,M,2022-10-29 21:26:17,4.0
248,2808.0,F-231,M,2022-08-12 21:24:02,4.0
249,9607.0,F-855,M,2022-09-04 21:26:17,4.0
250,5642.0,F-630,M,2022-12-06 21:26:17,4.0
251,4665.0,F-231,L,2022-08-11 21:24:02,4.0
252,9557.0,F-295,M,2022-08-05 21:24:02,4.0
253,3725.0,F-855,L,2022-08-19 21:26:17,4.0
254,9557.0,F-295,M,2022-08-07 02:59:05,4.0
255,3336.0,F-630,M,2022-12-17 21:26:17,4.0
256,8797.0,F-546,M,2022-08-05 21:24:02,4.0
257,3208.0,F-630,M,2022-10-11 21:26:17,4.0
258,4200.0,F-670,M,2022-10-12 00:00:00,4.0
259,9607.0,F-855,M,2022-08-08 21:26:17,4.0
260,8436.0,F-855,M,2022-09-15 21:26:17,4.0
261,5632.0,F-855,M,2022-12-15 21:26:17,4.0
262,5104.0,F-690,M,2022-08-08 00:00:00,4.0
263,1989.0,F-286,L,2022-08-06 21:26:17,4.0
264,6615.0,F-231,M,2022-08-10 00:00:00,4.0
265,2090.0,F-286,L,2022-09-01 21:26:17,4.0
266,1440.0,F-286,M,2022-08-05 00:00:00,4.0
267,3220.0,F-630,M,2022-08-05 21:26:17,4.0
268,3764.0,F-231,L,2022-09-01 21:26:17,4.0
269,2178.0,F-286,M,2022-08-10 00:00:00,4.0
270,2210.0,F-286,L,2022-08-05 21:26:17,4.0
271,9984.0,F-630,M,2022-12-02 21:26:17,4.0
272,5864.0,F-855,L,2022-10-13 21:26:17,4.0
273,4576.0,F-670,M,2022-11-01 21:26:17,4.0
274,5866.0,F-630,L,2022-08-26 21:26:17,4.0
275,4848.0,F-630,M,2022-09-27 21:26:17,4.0
276,5866.0,F-630,M,2022-08-11 21:24:02,4.0
277,2577.0,F-630,M,2022-08-29 21:26:17,4.0
278,6752.0,F-630,M,2022-10-29 21:26:17,4.0
279,1836.0,F-286,M,2022-08-06 21:26:17,4.0
280,4734.0,F-670,M,2022-08-19 04:22:56,4.0
281,4267.0,F-670,M,2022-08-06 21:24:02,4.0
282,4180.0,F-630,M,2022-11-10 21:26:17,4.0
283,1414.0,F-286,M,2022-08-05 19:55:17,4.0
284,5124.0,F-855,L,2022-08-24 21:26:17,4.0
285,7200.0,F-546,M,2022-08-11 21:24:02,4.0
286,9519.0,F-295,M,2022-11-12 21:26:17,4.0
287,4576.0,F-670,L,2022-08-23 21:26:17,4.0
288,6276.0,F-295,M,2022-08-03 21:24:02,4.0
289,4690.0,F-231,L,2022-08-09 21:24:02,4.0
290,5944.0,F-855,L,2022-08-27 21:26:17,4.0
291,9126.0,F-855,M,2022-08-21 02:59:48,4.0
292,3764.0,F-231,L,2022-08-09 08:57:18,4.0
293,4734.0,F-670,M,2022-11-02 21:26:17,4.0
294,7095.0,F-546,M,2022-08-06 21:24:02,4.0
295,4692.0,F-670,M,2022-08-11 07:50:12,4.0
296,5866.0,F-630,M,2022-08-11 21:24:02,4.0
297,5817.0,F-630,L,2022-08-10 21:26:17,4.0
298,8797.0,F-546,M,2022-10-27 21:26:17,4.0
299,3724.0,F-231,L,2022-08-07 08:01:12,4.0
300,1456.0,F-286,M,2022-11-04 21:26:17,4.0
301,5817.0,F-630,M,2022-10-26 21:26:17,4.0
302,3724.0,F-231,L,2022-08-30 07:56:47,4.0
303,3764.0,F-231,L,2022-09-01 14:11:53,4.0
304,4285.0,F-630,M,2022-09-27 21:26:17,4.0
305,4176.0,F-192,M,2023-01-04 21:26:17,4.0
306,2802.0,F-231,L,2022-09-25 21:26:17,4.0
307,5866.0,F-630,M,2022-08-11 21:24:02,4.0
308,7290.0,F-192,L,2022-08-07 21:26:17,4.0
309,4734.0,F-670,M,2023-01-04 21:26:17,4.0
310,5104.0,F-690,L,2022-08-09 11:39:04,4.0
311,9542.0,F-855,M,2022-08-04 21:26:17,4.0
312,5896.0,F-855,M,2022-08-05 21:26:17,4.0
313,1836.0,F-286,M,2022-08-07 15:30:00,4.0
314,2802.0,F-231,M,2022-10-29 21:26:17,4.0
315,2090.0,F-286,L,2022-08-12 21:26:17,4.0
316,3700.0,F-855,M,2022-11-25 21:26:17,4.0
317,2409.0,F-630,L,2022-08-10 21:26:17,4.0
318,8240.0,F-295,M,2022-08-08 21:24:02,4.0
319,3388.0,F-630,L,2022-08-07 21:26:17,4.0
320,7888.0,F-546,C,2022-08-19 21:26:17,4.0
321,4734.0,F-670,M,2022-08-17 04:01:06,4.0
322,5922.0,F-630,M,2022-11-27 21:26:17,4.0
323,5640.0,F-546,M,2022-10-01 02:59:05,4.0
324,7667.0,F-546,M,2022-08-04 07:12:57,4.0
325,2577.0,F-630,L,2022-08-12 21:24:02,4.0
326,6800.0,F-630,L,2022-08-11 21:27:15,4.0
327,5243.0,F-855,M,2022-08-05 21:24:02,3.5
328,5866.0,F-630,M,2022-08-11 21:24:02,3.5
329,3640.0,F-670,L,2022-08-11 21:24:02,3.1
330,3640.0,F-670,L,2022-08-11 21:24:02,3.1
331,6526.0,F-295,L,2022-08-22 21:26:17,3.0
332,4685.0,F-231,L,2022-08-11 16:22:28,3.0
333,4240.0,F-630,M,2022-08-22 21:26:17,3.0
334,6526.0,F-295,M,2022-10-26 21:26:17,3.0
335,5864.0,F-855,M,2022-09-14 02:59:05,3.0
336,6580.0,F-231,L,2022-08-31 21:26:17,3.0
337,2090.0,F-286,M,2022-10-06 21:26:17,3.0
338,2108.0,F-286,L,2022-08-08 07:24:31,3.0
339,5166.0,F-855,M,2022-08-02 21:26:17,3.0
340,5136.0,F-630,M,2022-08-07 21:24:02,3.0
341,4267.0,F-670,M,2023-01-08 02:59:05,3.0
342,4063.0,F-192,M,2022-11-12 21:26:17,3.0
343,9984.0,F-630,M,2022-11-27 21:26:17,3.0
344,1836.0,F-286,M,2022-08-08 19:19:40,3.0
345,4824.0,F-630,M,2022-10-11 21:26:17,3.0
346,5864.0,F-855,M,2022-12-24 21:26:17,3.0
347,3380.0,F-630,M,2022-08-06 21:26:17,3.0
348,3575.0,F-670,M,2022-08-11 21:26:17,3.0
349,7684.0,F-546,M,2022-10-29 21:26:17,3.0
350,1380.0,F-286,L,2022-08-05 21:26:17,3.0
351,7095.0,F-546,L,2022-08-12 21:24:02,3.0
352,6276.0,F-295,M,2022-08-16 21:26:17,3.0
353,2808.0,F-231,M,2022-08-09 00:00:00,3.0
354,5866.0,F-630,M,2022-08-11 21:24:02,3.0
355,7785.0,F-295,M,2022-08-09 21:24:02,3.0
356,5896.0,F-855,M,2022-12-24 21:26:17,3.0
357,5640.0,F-546,L,2022-08-07 21:24:02,3.0
358,1575.0,F-286,M,2022-09-27 21:26:17,3.0
359,5642.0,F-630,M,2022-12-06 21:26:17,3.0
360,3724.0,F-231,L,2022-08-09 05:25:01,3.0
361,6565.0,F-295,M,2022-08-08 02:59:05,3.0
362,5010.0,F-630,L,2022-08-12 21:24:02,3.0
363,9072.0,F-295,M,2022-08-09 21:24:02,3.0
364,7644.0,F-690,L,2022-08-15 21:26:17,3.0
365,3764.0,F-231,L,2022-08-30 21:26:17,3.0
366,5866.0,F-630,M,2022-08-11 21:24:02,3.0
367,9542.0,F-855,L,2022-08-08 21:26:17,3.0
368,4267.0,F-670,M,2022-08-03 08:53:50,3.0
369,3380.0,F-630,M,2022-08-16 21:26:17,3.0
370,3540.0,F-192,M,2022-10-15 21:26:17,3.0
371,3341.0,F-670,M,2022-10-30 07:12:57,3.0
372,1590.0,F-286,M,2022-08-31 21:26:17,3.0
373,4685.0,F-231,M,2022-08-09 21:24:02,3.0
374,3204.0,F-630,L,2022-08-09 21:59:57,3.0
375,7576.0,F-231,L,2022-09-20 21:26:17,3.0
376,4848.0,F-630,L,2022-08-29 09:38:40,3.0
377,4675.0,F-231,L,2022-09-12 10:16:26,3.0
378,9984.0,F-630,M,2022-12-02 21:26:17,3.0
379,5226.0,F-192,L,2022-08-07 21:26:17,3.0
380,9072.0,F-295,M,2022-08-10 13:16:10,3.0
381,4710.0,F-231,L,2022-08-04 21:26:17,3.0
382,4848.0,F-630,L,2022-08-12 21:26:17,3.0
383,3730.0,F-855,L,2022-08-12 21:26:17,3.0
384,4777.0,F-670,M,2023-01-10 07:12:57,3.0
385,5866.0,F-630,M,2022-08-11 21:24:02,3.0
386,9288.0,F-295,M,2022-08-07 21:26:17,3.0
387,9072.0,F-295,L,2022-08-11 21:24:02,3.0
388,3150.0,F-192,M,2022-08-05 21:26:17,3.0
389,5866.0,F-630,M,2022-08-11 21:24:02,3.0
390,3575.0,F-670,M,2022-08-11 21:26:17,3.0
391,4114.0,F-192,L,2022-08-05 15:36:23,3.0
392,4592.0,F-670,M,2022-08-04 02:59:05,3.0
393,3764.0,F-231,L,2022-08-30 14:11:53,3.0
394,5866.0,F-630,L,2022-08-10 21:24:02,3.0
395,7644.0,F-690,L,2022-08-15 18:43:25,3.0
396,1836.0,F-286,M,2022-08-08 21:26:17,3.0
397,3185.0,F-192,M,2022-12-24 21:26:17,3.0
398,1380.0,F-286,M,2022-12-04 21:26:17,3.0
399,3724.0,F-231,M,2022-09-17 21:26:17,3.0
400,3150.0,F-192,M,2022-11-02 21:26:17,3.0
401,1744.0,F-286,M,2022-09-11 21:26:17,3.0
402,4777.0,F-670,M,2023-01-10 07:12:57,3.0
403,4777.0,F-670,L,2022-08-28 21:26:17,3.0
404,5864.0,F-855,L,2022-08-08 21:49:38,3.0
405,7684.0,F-546,L,2022-08-06 21:26:17,3.0
406,2210.0,F-286,M,2022-08-05 21:26:17,3.0
407,9594.0,F-295,M,2022-08-02 23:37:08,3.0
408,3341.0,F-670,M,2022-11-14 04:01:06,3.0
409,7200.0,F-546,M,2022-09-14 02:59:05,3.0
410,5208.0,F-855,L,2022-08-09 21:26:17,3.0
411,4710.0,F-231,L,2022-08-15 21:26:17,3.0
412,9144.0,F-295,M,2022-10-29 21:26:17,3.0
413,3204.0,F-630,L,2022-08-26 21:26:17,3.0
414,1575.0,F-286,M,2022-09-27 21:26:17,3.0
415,8288.0,F-295,L,2022-08-07 21:24:02,3.0
416,7576.0,F-231,L,2022-08-02 22:42:42,3.0
417,6266.0,F-546,M,2022-08-07 21:26:17,3.0
418,5944.0,F-855,L,2022-08-28 21:26:17,3.0
419,6760.0,F-295,C,2022-11-21 02:59:05,3.0
420,6760.0,F-295,L,2022-08-03 21:24:02,3.0
421,7888.0,F-546,M,2022-08-08 21:24:02,3.0
422,5866.0,F-630,M,2022-08-11 21:24:02,3.0
423,3966.0,F-690,M,2022-11-14 21:26:17,3.0
424,4063.0,F-192,M,2023-01-10 21:26:17,3.0
425,6752.0,F-630,M,2022-10-29 21:26:17,3.0
426,2577.0,F-630,M,2022-08-06 21:24:02,3.0
427,2880.0,F-192,M,2023-01-27 21:26:17,3.0
428,1476.0,F-286,L,2022-08-11 21:26:17,3.0
429,4245.0,F-630,L,2022-08-07 21:26:17,3.0
430,5866.0,F-630,M,2022-08-11 21:24:02,3.0
431,5010.0,F-630,M,2022-08-06 21:24:02,3.0
432,4690.0,F-231,L,2022-08-26 21:26:17,3.0
433,1440.0,F-286,L,2022-08-12 21:26:17,3.0
434,8670.0,F-295,M,2022-08-13 21:24:02,3.0
435,3725.0,F-855,L,2022-08-11 21:26:17,3.0
436,4267.0,F-670,M,2022-10-04 02:58:12,3.0
437,9072.0,F-295,L,2022-08-11 15:46:27,3.0
438,6132.0,F-295,M,2022-08-05 00:00:00,3.0
439,1442.0,F-286,M,2022-10-16 21:26:17,3.0
440,4544.0,F-670,M,2022-08-04 21:24:02,3.0
441,8460.0,F-855,L,2022-09-01 16:32:32,3.0
442,3204.0,F-630,L,2022-08-09 22:02:45,3.0
443,5166.0,F-855,L,2022-08-05 23:59:00,3.0
444,9542.0,F-855,L,2022-08-20 21:26:17,3.0
445,8460.0,F-855,L,2022-09-01 18:30:40,3.0
446,6752.0,F-630,M,2022-10-29 21:26:17,3.0
447,2808.0,F-231,M,2022-08-09 00:00:00,3.0
448,5010.0,F-630,M,2022-08-16 21:26:17,3.0
449,3230.0,F-690,M,2022-09-23 21:26:17,3.0
450,5010.0,F-630,L,2022-08-09 21:24:02,3.0
451,1605.0,F-286,M,2022-08-03 21:26:17,3.0
452,9540.0,F-295,M,2022-08-14 21:26:17,3.0
453,4114.0,F-192,L,2022-08-05 21:24:02,3.0
454,8820.0,F-855,M,2022-08-06 21:26:17,3.0
455,3341.0,F-670,M,2022-11-30 07:12:57,3.0
456,3808.0,F-192,L,2022-08-06 08:30:46,3.0
457,6752.0,F-630,L,2022-08-30 21:26:17,2.5
458,3150.0,F-192,M,2022-12-19 21:26:17,2.5
459,4734.0,F-670,M,2022-10-26 21:26:17,2.5
460,8096.0,F-295,M,2022-10-09 21:26:17,2.5
461,4063.0,F-192,M,2022-11-12 21:26:17,2.5
462,5817.0,F-630,L,2022-08-10 21:26:17,2.5
