,Month,Location,N_Fleet_type,Cycle,Count,Departing Station,N_Fleet_Type,Quarter,dist,Final_head_count,Last_head_count
22,September,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
23,September,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
24,October,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
25,October,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
26,October,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
27,October,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
28,October,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
29,October,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
30,October,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
31,October,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
32,November,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
33,November,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
34,November,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
35,November,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
36,November,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
37,November,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
38,November,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
39,November,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
40,December,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
41,December,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
42,December,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
43,December,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
44,December,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
45,December,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
46,December,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
47,December,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
48,January,YUL,F-347,1.0,41.0,YUL,F-347,N(1),0.3597650513950073,14.7503671071953,15.0
49,January,YUL,F-347,1.0,41.0,YUL,F-347,N(2),0.29588839941262846,12.131424375917767,12.0
50,January,YUL,F-347,1.0,41.0,YUL,F-347,N(3),0.3443465491923642,14.11820851688693,14.0
51,January,YUL,F-347,1.0,41.0,YUL,F-347,N(4),0.0,0.0,0.0
52,January,YUL,F-347,2.0,41.0,YUL,F-347,N(1),0.3597650513950073,14.7503671071953,15.0
53,January,YUL,F-347,2.0,41.0,YUL,F-347,N(2),0.29588839941262846,12.131424375917767,12.0
54,January,YUL,F-347,2.0,41.0,YUL,F-347,N(3),0.3443465491923642,14.11820851688693,14.0
55,January,YUL,F-347,2.0,41.0,YUL,F-347,N(4),0.0,0.0,0.0
56,July,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
57,July,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
58,July,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
59,July,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
60,July,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
61,July,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
62,July,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
63,July,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
64,August,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
65,August,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
66,August,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
67,August,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
68,August,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
69,August,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
70,August,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
71,August,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
72,September,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
73,September,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
74,September,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
75,September,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
76,September,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
77,September,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
78,September,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
79,September,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
80,October,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
81,October,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
82,October,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
83,October,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
84,October,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
85,October,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
86,October,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
87,October,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
88,November,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
89,November,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
90,November,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
91,November,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
92,November,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
93,November,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
94,November,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
95,November,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
96,December,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
97,December,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
98,December,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
99,December,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
100,December,YUL,F-295,1.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
101,December,YUL,F-295,1.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
102,December,YUL,F-295,1.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
103,December,YUL,F-295,1.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
104,January,YUL,F-295,1.0,20.0,YUL,F-295,N(1),0.2871287128712871,5.742574257425742,6.0
105,January,YUL,F-295,1.0,20.0,YUL,F-295,N(2),0.32673267326732675,6.534653465346535,7.0
106,January,YUL,F-295,1.0,20.0,YUL,F-295,N(3),0.26732673267326734,5.346534653465347,5.0
107,January,YUL,F-295,1.0,20.0,YUL,F-295,N(4),0.1188118811881188,2.376237623762376,2.0
108,January,YUL,F-295,2.0,19.0,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5.0
109,January,YUL,F-295,2.0,19.0,YUL,F-295,N(2),0.32673267326732675,6.207920792079208,6.0
110,January,YUL,F-295,2.0,19.0,YUL,F-295,N(3),0.26732673267326734,5.079207920792079,5.0
111,January,YUL,F-295,2.0,19.0,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2.0
112,July,YUL,F-690,2.0,4.0,,,,,,
113,July,YUL,F-690,1.0,4.0,,,,,,
114,August,YUL,F-690,2.0,4.0,,,,,,
115,August,YUL,F-690,1.0,4.0,,,,,,
116,September,YUL,F-690,1.0,4.0,,,,,,
117,September,YUL,F-690,2.0,4.0,,,,,,
118,October,YUL,F-690,1.0,4.0,,,,,,
119,October,YUL,F-690,2.0,4.0,,,,,,
120,November,YUL,F-690,2.0,4.0,,,,,,
121,November,YUL,F-690,1.0,4.0,,,,,,
122,December,YUL,F-690,2.0,4.0,,,,,,
123,December,YUL,F-690,1.0,4.0,,,,,,
124,January,YUL,F-690,1.0,5.0,,,,,,
125,January,YUL,F-690,2.0,4.0,,,,,,
126,July,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
127,July,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
128,July,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
129,July,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
130,July,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
131,July,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
132,July,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
133,July,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
134,August,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
135,August,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
136,August,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
137,August,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
138,August,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
139,August,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
140,August,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
141,August,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
142,September,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
143,September,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
144,September,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
145,September,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
146,September,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
147,September,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
148,September,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
149,September,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
150,October,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
151,October,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
152,October,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
153,October,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
154,October,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
155,October,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
156,October,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
157,October,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
158,November,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
159,November,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
160,November,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
161,November,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
162,November,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
163,November,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
164,November,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
165,November,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
166,December,YUL,F-855,2.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
167,December,YUL,F-855,2.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
168,December,YUL,F-855,2.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
169,December,YUL,F-855,2.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
170,December,YUL,F-855,1.0,14.0,YUL,F-855,N(1),0.18091451292246521,2.532803180914513,3.0
171,December,YUL,F-855,1.0,14.0,YUL,F-855,N(2),0.8190854870775348,11.467196819085487,11.0
172,December,YUL,F-855,1.0,14.0,YUL,F-855,N(3),0.0,0.0,0.0
173,December,YUL,F-855,1.0,14.0,YUL,F-855,N(4),0.0,0.0,0.0
174,January,YUL,F-855,1.0,15.0,YUL,F-855,N(1),0.18091451292246521,2.713717693836978,3.0
175,January,YUL,F-855,1.0,15.0,YUL,F-855,N(2),0.8190854870775348,12.286282306163022,12.0
176,January,YUL,F-855,1.0,15.0,YUL,F-855,N(3),0.0,0.0,0.0
177,January,YUL,F-855,1.0,15.0,YUL,F-855,N(4),0.0,0.0,0.0
178,January,YUL,F-855,2.0,15.0,YUL,F-855,N(1),0.18091451292246521,2.713717693836978,3.0
179,January,YUL,F-855,2.0,15.0,YUL,F-855,N(2),0.8190854870775348,12.286282306163022,12.0
180,January,YUL,F-855,2.0,15.0,YUL,F-855,N(3),0.0,0.0,0.0
181,January,YUL,F-855,2.0,15.0,YUL,F-855,N(4),0.0,0.0,0.0
182,July,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
183,July,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
184,July,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
185,July,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
186,July,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
187,July,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
188,July,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
189,July,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
190,August,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
191,August,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
192,August,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
193,August,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
194,August,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
195,August,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
196,August,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
197,August,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
198,September,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
199,September,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
200,September,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
201,September,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
202,September,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
203,September,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
204,September,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
205,September,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
206,October,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
207,October,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
208,October,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
209,October,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
210,October,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
211,October,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
212,October,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
213,October,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
214,November,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
215,November,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
216,November,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
217,November,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
218,November,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
219,November,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
220,November,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
221,November,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
222,December,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
223,December,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
224,December,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
225,December,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
226,December,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
227,December,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
228,December,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
229,December,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
230,January,YUL,F-630,1.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
231,January,YUL,F-630,1.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
232,January,YUL,F-630,1.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
233,January,YUL,F-630,1.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
234,January,YUL,F-630,2.0,22.0,YUL,F-630,N(1),0.4612850082372323,10.148270181219111,10.0
235,January,YUL,F-630,2.0,22.0,YUL,F-630,N(2),0.39373970345963755,8.662273476112025,9.0
236,January,YUL,F-630,2.0,22.0,YUL,F-630,N(3),0.14497528830313014,3.189456342668863,3.0
237,January,YUL,F-630,2.0,22.0,YUL,F-630,N(4),0.0,0.0,0.0
238,July,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
239,July,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
240,July,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
241,July,YUL,F-231,2.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
242,July,YUL,F-231,1.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
243,July,YUL,F-231,1.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
244,July,YUL,F-231,1.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
245,July,YUL,F-231,1.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
246,August,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
247,August,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
248,August,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
249,August,YUL,F-231,2.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
250,August,YUL,F-231,1.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
251,August,YUL,F-231,1.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
252,August,YUL,F-231,1.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
253,August,YUL,F-231,1.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
254,September,YUL,F-231,1.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
255,September,YUL,F-231,1.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
256,September,YUL,F-231,1.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
257,September,YUL,F-231,1.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
258,September,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
259,September,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
260,September,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
261,September,YUL,F-231,2.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
262,October,YUL,F-231,1.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
263,October,YUL,F-231,1.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
264,October,YUL,F-231,1.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
265,October,YUL,F-231,1.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
266,October,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
267,October,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
268,October,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
269,October,YUL,F-231,2.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
270,November,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
271,November,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
272,November,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
273,November,YUL,F-231,2.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
274,November,YUL,F-231,1.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
275,November,YUL,F-231,1.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
276,November,YUL,F-231,1.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
277,November,YUL,F-231,1.0,10.0,YUL,F-231,N(4),0.0,0.0,0.0
278,December,YUL,F-231,2.0,10.0,YUL,F-231,N(1),0.0,0.0,0.0
279,December,YUL,F-231,2.0,10.0,YUL,F-231,N(2),0.8088235294117647,8.088235294117647,8.0
280,December,YUL,F-231,2.0,10.0,YUL,F-231,N(3),0.19117647058823528,1.9117647058823528,2.0
